"GeneSymbol"	"GeneID"	"# Interactors"
"ADA"	"100"	1.
"ACOT8"	"10005"	9.
"KCNE3"	"10008"	56.
"TEN1"	"100134934"	2.
"BCL2L11"	"10018"	29.
"CST8"	"10047"	5.
"DNAJB6"	"10049"	15.
"DNM1L"	"10059"	1.
"CDH8"	"1006"	13.
"PTPRU"	"10076"	5.
"TSSC4"	"10078"	22.
"GPC6"	"10082"	7.
"EDIL3"	"10085"	3.
"ARPC1B"	"10095"	11.
"TSPAN2"	"10100"	9.
"NUBP2"	"10101"	4.
"TSFM"	"10102"	5.
"CTDSP2"	"10106"	6.
"TRIM10"	"10107"	16.
"CDH13"	"1012"	2.
"ACTR1A"	"10121"	10.
"ARL4C"	"10123"	19.
"ZNF263"	"10127"	2.
"PDIA6"	"10130"	3.
"NAMPT"	"10135"	2.
"CELA3A"	"10136"	16.
"YAF2"	"10138"	38.
"CLEC3A"	"10143"	9.
"ATP6AP2"	"10159"	19.
"SLC25A13"	"10165"	29.
"CDK2"	"1017"	24.
"RCL1"	"10171"	2.
"SORBS3"	"10174"	14.
"RBM7"	"10179"	7.
"LHFPL2"	"10184"	15.
"RNF41"	"10193"	8.
"MPHOSPH6"	"10200"	14.
"DHRS2"	"10202"	0.
"ANGPTL7"	"10218"	15.
"CDK7"	"1022"	5.
"STX6"	"10228"	19.
"DCAF7"	"10238"	17.
"MRPS31"	"10240"	4.
"RABEPK"	"10244"	5.
"POP7"	"10248"	15.
"CDK9"	"1025"	10.
"RAMP3"	"10268"	34.
"STUB1"	"10273"	7.
"BCAS2"	"10286"	20.
"DNAJA2"	"10294"	76.
"TCIRG1"	"10312"	22.
"LANCL1"	"10314"	11.
"TNIP1"	"10318"	7.
"CDKN2D"	"1032"	6.
"IKZF1"	"10320"	30.
"RXYLT1"	"10329"	4.
"B3GNT3"	"10331"	1.
"TRDN"	"10345"	125.
"NPM3"	"10360"	70.
"HMG20B"	"10362"	10.
"HMG20A"	"10363"	48.
"MICU1"	"10367"	6.
"TUBB3"	"10381"	22.
"CDR2"	"1039"	14.
"CORO2B"	"10391"	33.
"MYL12B"	"103910"	19.
"PRG3"	"10394"	63.
"RACK1"	"10399"	19.
"ADARB1"	"104"	8.
"CDS1"	"1040"	1.
"NDC80"	"10403"	17.
"NSA2"	"10412"	9.
"UBAC1"	"10422"	6.
"C1D"	"10438"	6.
"LRRN2"	"10446"	6.
"ACAA2"	"10449"	3.
"PPIE"	"10450"	11.
"TAB1"	"10454"	7.
"TACC3"	"10460"	10.
"CLGN"	"1047"	306.
"TADA3"	"10474"	13.
"NXF1"	"10482"	24.
"SEC23B"	"10483"	10.
"CREB3"	"10488"	18.
"SYNCRIP"	"10492"	8.
"STK25"	"10494"	22.
"SEMA3C"	"10512"	1.
"FBLN5"	"10516"	19.
"CIB2"	"10518"	37.
"ATG7"	"10533"	4.
"ZNRD2"	"10534"	127.
"LAMTOR5"	"10542"	10.
"ARPC1A"	"10552"	11.
"RPP30"	"10556"	10.
"OLFM4"	"10562"	32.
"SLC34A2"	"10568"	4.
"SLU7"	"10569"	3.
"DPYSL4"	"10570"	8.
"CCT7"	"10574"	17.
"NPC2"	"10577"	5.
"GNLY"	"10578"	25.
"SCGN"	"10590"	15.
"HEXIM1"	"10614"	11.
"STAMBP"	"10617"	8.
"TGOLN2"	"10618"	15.
"NPRL2"	"10641"	5.
"IGF2BP3"	"10643"	20.
"SCGB1D1"	"10648"	24.
"MTX2"	"10651"	7.
"YKT6"	"10652"	5.
"SPINT2"	"10653"	29.
"CD226"	"10666"	71.
"CGRRF1"	"10668"	9.
"CGREF1"	"10669"	6.
"DCTN6"	"10671"	11.
"GNA13"	"10672"	5.
"CETN1"	"1068"	26.
"PNMA2"	"10687"	144.
"CNPY3"	"10695"	10.
"FAM189B"	"10712"	19.
"PTGES3"	"10728"	27.
"NUP50"	"10762"	16.
"POP4"	"10775"	11.
"ZNF274"	"10782"	4.
"CCR9"	"10803"	34.
"CGA"	"1081"	1.
"UTP14A"	"10813"	2.
"PPP1R13L"	"10848"	6.
"RUVBL2"	"10856"	33.
"HCST"	"10870"	7.
"CEACAM8"	"1088"	10.
"MRPS30"	"10884"	39.
"BRD8"	"10902"	7.
"PAPOLA"	"10914"	1.
"MAGED2"	"10916"	13.
"RNPS1"	"10921"	107.
"SPIN1"	"10927"	18.
"MORF4L1"	"10933"	28.
"PRDX3"	"10935"	4.
"STARD3"	"10948"	5.
"BTG3"	"10950"	1.
"OS9"	"10956"	53.
"TMED2"	"10959"	25.
"LMAN2"	"10960"	84.
"ERP29"	"10961"	5.
"YWHAQ"	"10971"	174.
"TMED10"	"10972"	18.
"ASCC3"	"10973"	1.
"COPS6"	"10980"	34.
"RAB32"	"10981"	4.
"MAPRE2"	"10982"	2.
"COPS5"	"10987"	30.
"ILVBL"	"10994"	88.
"KIF2C"	"11004"	5.
"LILRB4"	"11006"	13.
"TLK2"	"11011"	5.
"SNRNP27"	"11017"	38.
"LIAS"	"11019"	8.
"RAB31"	"11031"	10.
"B4GAT1"	"11041"	20.
"DUSP14"	"11072"	6.
"STMN2"	"11075"	17.
"KERA"	"11081"	4.
"DIDO1"	"11083"	3.
"ADAM30"	"11085"	7.
"WDR5"	"11091"	22.
"RPP14"	"11102"	9.
"KRR1"	"11103"	61.
"CEP43"	"11116"	9.
"FOXN3"	"1112"	14.
"GLMN"	"11146"	16.
"LSM6"	"11157"	13.
"CHI3L1"	"1116"	5.
"NUDT3"	"11165"	4.
"FSTL1"	"11167"	8.
"INSL6"	"11172"	28.
"WBP4"	"11193"	4.
"WIF1"	"11197"	3.
"KLK8"	"11202"	7.
"FZD10"	"11211"	70.
"RPL35"	"11224"	4.
"GALNT6"	"11226"	16.
"RASSF8"	"11228"	23.
"POLG2"	"11232"	15.
"PRRT2"	"112476"	18.
"NXPH3"	"11248"	19.
"MAN1B1"	"11253"	4.
"DCTN3"	"11258"	9.
"MRAP2"	"112609"	24.
"NRM"	"11270"	7.
"L3HYPDH"	"112849"	9.
"SGF29"	"112869"	41.
"CHRM3"	"1131"	31.
"CDCA5"	"113130"	12.
"SAAL1"	"113174"	191.
"GPR182"	"11318"	57.
"ECD"	"11319"	15.
"CHRM4"	"1132"	66.
"GPN1"	"11321"	11.
"VSIG4"	"11326"	86.
"TMEM106A"	"113277"	22.
"FKBP9"	"11328"	15.
"TUSC2"	"11334"	7.
"EXOC3"	"11336"	11.
"U2AF2"	"11338"	14.
"OIP5"	"11339"	8.
"CHRNA3"	"1136"	14.
"CHRNA4"	"1137"	54.
"PIK3IP1"	"113791"	3.
"HENMT1"	"113802"	1.
"CHRNB1"	"1140"	49.
"BUD23"	"114049"	5.
"CHRNB2"	"1141"	35.
"CHRNB4"	"1143"	14.
"CHRND"	"1144"	9.
"BTBD9"	"114781"	1.
"SLC25A25"	"114789"	12.
"TMEM200A"	"114801"	6.
"RHPN1"	"114822"	10.
"OSBPL5"	"114879"	8.
"OSBPL8"	"114882"	8.
"OSBPL11"	"114885"	58.
"C1QTNF1"	"114897"	26.
"MRFAP1L1"	"114932"	2.
"FLYWCH2"	"114984"	4.
"VASN"	"114990"	32.
"ADCY9"	"115"	13.
"KCTD12"	"115207"	15.
"FBXO17"	"115290"	7.
"MALSU1"	"115416"	12.
"ZNF689"	"115509"	5.
"TRMT61A"	"115708"	7.
"DIS3L"	"115752"	3.
"FANCD2OS"	"115795"	25.
"RNF166"	"115992"	12.
"ADCYAP1"	"116"	18.
"KLHDC3"	"116138"	13.
"ZMYND19"	"116225"	11.
"LYPD1"	"116372"	83.
"IL22RA2"	"116379"	5.
"TSEN15"	"116461"	9.
"HSPA12B"	"116835"	13.
"TADA1"	"117143"	12.
"AP2S1"	"1175"	28.
"RFFL"	"117584"	8.
"MUCL1"	"118430"	13.
"ZNF511"	"118472"	6.
"ZFYVE27"	"118813"	1.
"COMTD1"	"118881"	28.
"ANKRD22"	"118932"	35.
"ADD2"	"119"	3.
"CLU"	"1191"	9.
"SFR1"	"119392"	4.
"ANAPC16"	"119504"	14.
"SERPINA3"	"12"	2.
"SDR9C7"	"121214"	3.
"IKBIP"	"121457"	6.
"CMA1"	"1215"	29.
"ANO4"	"121601"	8.
"SPPL3"	"121665"	4.
"TDRD9"	"122402"	1.
"ADSS1"	"122622"	4.
"MRPL52"	"122704"	44.
"FRMD6"	"122786"	3.
"NAA30"	"122830"	14.
"ISCA2"	"122961"	9.
"LRRC28"	"123355"	13.
"CCR6"	"1235"	22.
"FSD2"	"123722"	45.
"CEP20"	"123811"	6.
"CMKLR1"	"1240"	10.
"ZC3H18"	"124245"	8.
"CANT1"	"124583"	3.
"HEXIM2"	"124790"	31.
"CCDC43"	"124808"	4.
"CYB5D2"	"124936"	12.
"MRPL10"	"124995"	32.
"ZNF543"	"125919"	1.
"SWSAP1"	"126074"	2.
"CNGA3"	"1261"	8.
"NTN5"	"126147"	30.
"ZNF428"	"126299"	11.
"MISP"	"126353"	11.
"LRRC25"	"126364"	14.
"CNN3"	"1266"	10.
"MAB21L3"	"126868"	14.
"CNTFR"	"1271"	5.
"TCEANC2"	"127428"	11.
"ARL8A"	"127829"	10.
"SYT2"	"127833"	67.
"IQGAP3"	"128239"	23.
"BHLHE23"	"128408"	5.
"SPATA25"	"128497"	16.
"SIRPD"	"128646"	5.
"EMID1"	"129080"	33.
"NUP35"	"129401"	8.
"TAF8"	"129685"	16.
"FBLN7"	"129804"	11.
"RBM45"	"129831"	2.
"ZFAND2B"	"130617"	10.
"CPNE4"	"131034"	3.
"KLHL40"	"131377"	32.
"CD200R1"	"131450"	19.
"CHCHD4"	"131474"	35.
"LRRC15"	"131578"	4.
"FAM43A"	"131583"	5.
"SLC31A1"	"1317"	24.
"LSMEM2"	"132228"	10.
"FAM241A"	"132720"	13.
"GNPDA2"	"132789"	4.
"COX5B"	"1329"	21.
"ENPP6"	"133121"	14.
"EMB"	"133418"	5.
"CAPSL"	"133690"	3.
"CCDC127"	"133957"	13.
"COX6B1"	"1340"	5.
"GRPEL2"	"134266"	6.
"TMEM171"	"134285"	23.
"C5orf24"	"134553"	2.
"HINT3"	"135114"	8.
"C6orf141"	"135398"	13.
"HUS1B"	"135458"	11.
"SSMEM1"	"136263"	36.
"MTPN"	"136319"	4.
"MPLKIP"	"136647"	6.
"GPAT4"	"137964"	2.
"CARNMT1"	"138199"	15.
"ATF2"	"1386"	9.
"PTPDC1"	"138639"	5.
"RPP25L"	"138716"	21.
"SPANXN3"	"139067"	42.
"CRHBP"	"1393"	20.
"SPIN4"	"139886"	7.
"CRP"	"1401"	49.
"TCP10L"	"140290"	18.
"ASB9"	"140462"	24.
"CBLN4"	"140689"	5.
"TRIM69"	"140691"	2.
"DYNLL2"	"140735"	95.
"CST11"	"140880"	5.
"PABPC5"	"140886"	6.
"CRYAB"	"1410"	8.
"CRYBA4"	"1413"	4.
"CRYBB3"	"1417"	9.
"ITLN2"	"142683"	6.
"CRYZ"	"1429"	10.
"MAPK14"	"1432"	14.
"PIWIL4"	"143689"	3.
"GLIPR1L2"	"144321"	19.
"CPNE8"	"144402"	2.
"FBXL14"	"144699"	14.
"CSN2"	"1447"	4.
"CSNK1A1"	"1452"	8.
"SERPINA12"	"145264"	18.
"CSNK1D"	"1453"	33.
"CSNK1G2"	"1455"	5.
"MDP1"	"145553"	3.
"CSNK1G3"	"1456"	5.
"HAPLN3"	"145864"	20.
"CSNK2A2"	"1459"	32.
"CSNK2B"	"1460"	55.
"RNF151"	"146310"	2.
"FBXL16"	"146330"	58.
"ZNF785"	"146540"	19.
"CST1"	"1469"	3.
"TRIM16L"	"147166"	16.
"CST5"	"1473"	6.
"CST6"	"1474"	7.
"ANKRD29"	"147463"	6.
"KLC3"	"147700"	12.
"ZNF784"	"147808"	34.
"SPC24"	"147841"	11.
"FAM187B"	"148109"	14.
"CTAG1B"	"1485"	4.
"UBE2U"	"148581"	8.
"CTH"	"1491"	1.
"CTLA4"	"1493"	29.
"PDIK1L"	"149420"	6.
"CCT8L2"	"150160"	20.
"CCDC117"	"150275"	8.
"HORMAD2"	"150280"	15.
"PNPLA5"	"150379"	2.
"CDPF1"	"150383"	8.
"TTC30B"	"150737"	17.
"CTSG"	"1511"	23.
"FAHD2B"	"151313"	2.
"CTSV"	"1515"	4.
"DTX3L"	"151636"	2.
"SGO1"	"151648"	22.
"PPP4R2"	"151987"	13.
"XXYLT1"	"152002"	16.
"SPICE1"	"152185"	2.
"NIPAL1"	"152519"	26.
"SHISA3"	"152573"	5.
"TEX28"	"1527"	15.
"CYB5A"	"1528"	10.
"PPM1K"	"152926"	4.
"MBLAC2"	"153364"	6.
"SRFBP1"	"153443"	35.
"ZMAT2"	"153527"	5.
"TTC23L"	"153657"	2.
"PRELID2"	"153768"	1.
"CNKSR3"	"154043"	11.
"SLC2A12"	"154091"	46.
"CYP1A1"	"1543"	2.
"BMT2"	"154743"	4.
"IQUB"	"154865"	7.
"CYP2C18"	"1562"	8.
"FBXO16"	"157574"	9.
"TMEM74"	"157753"	33.
"ADSL"	"158"	4.
"LINGO2"	"158038"	2.
"LCN6"	"158062"	66.
"TTC16"	"158248"	3.
"RIBC1"	"158787"	21.
"H2BW1"	"158983"	2.
"PATE1"	"160065"	92.
"CLEC12A"	"160364"	8.
"CD55"	"1604"	8.
"DAXX"	"1616"	27.
"RETREG3"	"162427"	33.
"DBN1"	"1627"	20.
"ZNF550"	"162972"	4.
"DCK"	"1633"	5.
"DCN"	"1634"	6.
"TOR1AIP2"	"163590"	12.
"IFNLR1"	"163702"	4.
"KANK4"	"163782"	22.
"DDB2"	"1643"	22.
"AKR1C2"	"1646"	11.
"GADD45A"	"1647"	2.
"DDX1"	"1653"	10.
"DNAJB8"	"165721"	39.
"GPR156"	"165829"	24.
"DHX8"	"1659"	35.
"SGMS2"	"166929"	4.
"DEFA5"	"1670"	27.
"DCP2"	"167227"	8.
"DES"	"1674"	15.
"DFFB"	"1677"	3.
"ZNF467"	"168544"	4.
"GSDME"	"1687"	119.
"SSBP4"	"170463"	9.
"CLEC4C"	"170482"	4.
"FAM9B"	"171483"	37.
"FAM9C"	"171484"	8.
"DHCR24"	"1718"	12.
"DHFR"	"1719"	4.
"DLG3"	"1741"	8.
"AGA"	"175"	1.
"DMD"	"1756"	17.
"DNASE1L1"	"1774"	14.
"DNASE1L2"	"1775"	14.
"DNASE2"	"1777"	6.
"ABAT"	"18"	1.
"AGRP"	"181"	4.
"DRG2"	"1819"	3.
"RCAN1"	"1827"	10.
"DTNA"	"1837"	2.
"DVL2"	"1856"	18.
"TOR1A"	"1861"	5.
"APLNR"	"187"	30.
"EDA"	"1896"	38.
"S1PR1"	"1901"	38.
"LPAR1"	"1902"	339.
"S1PR3"	"1903"	138.
"EDN3"	"1908"	9.
"EDNRA"	"1909"	4.
"EEF1A2"	"1917"	13.
"EFNB1"	"1947"	25.
"EFNB2"	"1948"	24.
"EFNB3"	"1949"	8.
"SDR16C5"	"195814"	1.
"EHHADH"	"1962"	22.
"DTX3"	"196403"	19.
"EEF2KMT"	"196483"	5.
"EIF4A1"	"1973"	11.
"ACSF3"	"197322"	2.
"EIF4E"	"1977"	12.
"ELANE"	"1991"	6.
"ELAVL2"	"1993"	14.
"ELAVL4"	"1996"	7.
"A2M"	"2"	13.
"PLD5"	"200150"	4.
"TEX37"	"200523"	4.
"APLF"	"200558"	21.
"ARL13B"	"200894"	13.
"FLCN"	"201163"	1.
"PLD6"	"201164"	4.
"TMEM154"	"201799"	12.
"TMEM192"	"201931"	9.
"RWDD4"	"201965"	5.
"KHDRBS2"	"202559"	9.
"TMEM184A"	"202915"	39.
"TUBB"	"203068"	57.
"ADAM32"	"203102"	3.
"FAM219A"	"203259"	7.
"TMEM31"	"203562"	52.
"EPHA1"	"2041"	57.
"DIPK2A"	"205428"	4.
"SENP5"	"205564"	4.
"ERCC3"	"2071"	12.
"ERF"	"2077"	73.
"ERH"	"2079"	20.
"ESRRG"	"2104"	8.
"ETFB"	"2109"	3.
"ETV6"	"2120"	4.
"EXT1"	"2131"	9.
"EXTL3"	"2137"	39.
"ALCAM"	"214"	3.
"EYA3"	"2140"	2.
"EZH2"	"2146"	7.
"FANCG"	"2189"	10.
"FARSA"	"2193"	13.
"CABCOCO1"	"219621"	2.
"TYSND1"	"219743"	4.
"CCNY"	"219771"	6.
"FBLN2"	"2199"	21.
"MRPL21"	"219927"	3.
"VWCE"	"220001"	16.
"LTO1"	"220064"	9.
"CCDC89"	"220388"	12.
"FCER1A"	"2205"	1.
"ALDH3B1"	"221"	17.
"REEP3"	"221035"	3.
"SLC39A12"	"221074"	9.
"SKA3"	"221150"	6.
"MICU2"	"221154"	4.
"CPNE2"	"221184"	19.
"ADGRG5"	"221188"	76.
"LRRC73"	"221424"	23.
"FCGR3B"	"2215"	3.
"FCN1"	"2219"	4.
"RSBN1L"	"222194"	2.
"FDFT1"	"2222"	2.
"FGF8"	"2253"	6.
"FGF10"	"2255"	15.
"FGF11"	"2256"	11.
"FGF13"	"2258"	7.
"FGG"	"2266"	12.
"FGL1"	"2267"	39.
"VEGFD"	"2277"	5.
"COG2"	"22796"	10.
"XRN2"	"22803"	0.
"COPG1"	"22820"	38.
"RHOBTB3"	"22836"	2.
"VASH1"	"22846"	4.
"NTNG1"	"22854"	12.
"FKBP2"	"2286"	5.
"SLITRK3"	"22865"	2.
"TRAK1"	"22906"	18.
"RALY"	"22913"	1.
"KIFAP3"	"22920"	5.
"MSRB2"	"22921"	10.
"SNW1"	"22938"	16.
"CCT5"	"22948"	10.
"TRIM32"	"22954"	3.
"TPX2"	"22974"	2.
"AKR7A3"	"22977"	24.
"FOXD4"	"2298"	9.
"TCF25"	"22980"	5.
"FOXJ1"	"2302"	8.
"TMCC1"	"23023"	4.
"RBM34"	"23029"	4.
"WDTC1"	"23038"	91.
"NMNAT2"	"23057"	10.
"ERP44"	"23071"	3.
"ZNF423"	"23090"	2.
"MRPS27"	"23107"	15.
"PHF8"	"23133"	7.
"LRCH1"	"23143"	9.
"CLCC1"	"23155"	8.
"TBC1D9"	"23158"	6.
"LARP4B"	"23185"	3.
"FAM120A"	"23196"	26.
"FAF2"	"23197"	23.
"PMPCA"	"23203"	6.
"SYT11"	"23208"	21.
"RRS1"	"23212"	30.
"FBXO28"	"23219"	8.
"PDS5A"	"23244"	3.
"FBXW11"	"23291"	75.
"MGRN1"	"23295"	5.
"UBR2"	"23304"	19.
"NEMP1"	"23306"	11.
"KIAA0930"	"23313"	8.
"SATB2"	"23314"	4.
"RRP8"	"23378"	54.
"FNTA"	"2339"	13.
"LARS2"	"23395"	3.
"SIRT5"	"23408"	5.
"ITGB3BP"	"23421"	7.
"RYBP"	"23429"	23.
"ANGPTL2"	"23452"	10.
"HEY1"	"23462"	16.
"CBX6"	"23466"	27.
"QPRT"	"23475"	13.
"BRD4"	"23476"	2.
"SEC11A"	"23478"	6.
"PES1"	"23481"	15.
"HEY2"	"23493"	3.
"TNFRSF13B"	"23495"	24.
"LRRC8B"	"23507"	5.
"ZNF281"	"23528"	1.
"ATP6V0A2"	"23545"	19.
"FOSL2"	"2355"	62.
"CDK20"	"23552"	6.
"TSPAN15"	"23555"	3.
"DDAH2"	"23564"	6.
"ZNF346"	"23567"	40.
"FPR1"	"2357"	102.
"FPR2"	"2358"	15.
"CDC42EP4"	"23580"	9.
"CCNDBP1"	"23582"	3.
"KLHDC2"	"23588"	12.
"AMACR"	"23600"	7.
"ZIM2"	"23619"	5.
"CBLC"	"23624"	7.
"SSBP2"	"23635"	14.
"NUP62"	"23636"	33.
"HSPBP1"	"23640"	6.
"LDOC1"	"23641"	0.
"TRIM29"	"23650"	3.
"STX12"	"23673"	53.
"SDF2L1"	"23753"	6.
"PISD"	"23761"	8.
"MTCH2"	"23788"	9.
"ALOX5"	"240"	5.
"IFIT5"	"24138"	15.
"PRPF6"	"24148"	12.
"ATP6V1C2"	"245973"	18.
"CDC26"	"246184"	12.
"FTH1"	"2495"	6.
"FTL"	"2512"	178.
"TMEM9"	"252839"	20.
"ZNF396"	"252884"	11.
"STXBP4"	"252983"	1.
"FNDC5"	"252995"	3.
"EPHX4"	"253152"	6.
"FYN"	"2534"	13.
"SLC25A30"	"253512"	3.
"CERS6"	"253782"	6.
"KCTD13"	"253980"	8.
"ETFBKMT"	"254013"	2.
"TSGA10IP"	"254187"	3.
"LPCAT4"	"254531"	4.
"XRCC6"	"2547"	8.
"GAA"	"2548"	6.
"LRRC57"	"255252"	4.
"TCP11L2"	"255394"	2.
"H2BC1"	"255626"	21.
"C19orf38"	"255809"	7.
"GABRD"	"2563"	6.
"CCDC96"	"257236"	16.
"KLHL34"	"257240"	2.
"H2AP"	"25763"	2.
"HYPK"	"25764"	6.
"PRPF40B"	"25766"	8.
"CBY1"	"25776"	10.
"SUN2"	"25777"	17.
"FBXO7"	"25793"	25.
"QPCT"	"25797"	3.
"LSM4"	"25804"	20.
"TTLL1"	"25809"	12.
"KLK5"	"25818"	30.
"YIPF3"	"25844"	12.
"ARMC8"	"25852"	21.
"DCAF12"	"25853"	3.
"ABHD14A"	"25864"	9.
"RPL36"	"25873"	10.
"GALNS"	"2588"	13.
"TMEM186"	"25880"	4.
"POC1A"	"25886"	19.
"EEF1AKMT3"	"25895"	2.
"OLFML2B"	"25903"	10.
"CNOT10"	"25904"	103.
"NIPSNAP3A"	"25934"	5.
"FAM98A"	"25940"	18.
"SYF2"	"25949"	8.
"PNKD"	"25953"	5.
"TMEM87A"	"25963"	15.
"MOXD1"	"26002"	1.
"L3MBTL1"	"26013"	4.
"TMEM98"	"26022"	11.
"PPP1R16B"	"26051"	4.
"APPL1"	"26060"	5.
"DCAF4"	"26094"	7.
"CHTOP"	"26097"	10.
"SZRD1"	"26099"	8.
"WIPI2"	"26100"	8.
"PRPF31"	"26121"	9.
"TRPC4AP"	"26133"	10.
"SERBP1"	"26135"	25.
"IRF2BP1"	"26145"	7.
"PHF19"	"26147"	7.
"LRRC32"	"2615"	37.
"NOC2L"	"26155"	7.
"RSL1D1"	"26156"	5.
"B3GAT3"	"26229"	13.
"LRRC29"	"26231"	8.
"FBXO2"	"26232"	206.
"FBXO6"	"26270"	84.
"FBXO5"	"26271"	3.
"FBXO3"	"26273"	11.
"ERAL1"	"26284"	4.
"MYCBP"	"26292"	66.
"GBP1"	"2633"	2.
"HSPB8"	"26353"	33.
"GCG"	"2641"	7.
"INTS6"	"26512"	4.
"TIMM10"	"26519"	5.
"AGO1"	"26523"	19.
"IL36RN"	"26525"	1.
"OSTF1"	"26578"	5.
"MYEOV"	"26579"	4.
"BSCL2"	"26580"	95.
"MRPL46"	"26589"	4.
"NAP1L5"	"266812"	11.
"AMHR2"	"269"	3.
"RANBP6"	"26953"	4.
"GJA1"	"2697"	5.
"AP3M1"	"26985"	10.
"TRUB2"	"26995"	6.
"TPK1"	"27010"	1.
"NPTN"	"27020"	100.
"TRMT2A"	"27037"	2.
"UTP25"	"27042"	9.
"GHITM"	"27069"	1.
"LYPD3"	"27076"	13.
"UQCRQ"	"27089"	10.
"CACNG5"	"27091"	28.
"CACNG4"	"27092"	14.
"TAF5L"	"27097"	4.
"GK"	"2710"	2.
"DKKL1"	"27120"	27.
"DKK3"	"27122"	20.
"CPNE7"	"27132"	7.
"PALD1"	"27143"	5.
"CHIA"	"27159"	15.
"PRELID1"	"27166"	4.
"TUBG2"	"27175"	15.
"IL36A"	"27179"	2.
"DISC1"	"27185"	14.
"GLB1"	"2720"	10.
"C5AR2"	"27202"	8.
"GPKOW"	"27238"	8.
"LSM3"	"27258"	12.
